User_ID,Age,Gender,Location_ID,Location_Name,Category,Rating,Review,Visit_Date,Duration,Activity,Companions,Accommodation,Price_Range,Local_Cuisine_Rating,Weather_Preference,Transport,Is_Family_Friendly,Language_Barrier,Budget,Recommend
930,24,Female,1797,Great Wall of China,Adventure,3,Amazing view,2023-05-24,9.3,Hiking,1,Resort,High,5,Moderate,Car,0,1,500,0
394,39,Male,2000,Taj Mahal,Urban,4,Loved the architecture,2024-03-26,3.1,Photography,2,Guesthouse,High,5,Cool,Walking,0,1,5000,1
784,26,Female,1600,Machu Picchu,Nature,1,Too crowded,2024-02-11,8.1,Photography,0,Airbnb,Medium,3,Cool,Public Transport,0,0,2000,0
601,60,Male,1356,Grand Canyon,Historical,1,Too crowded,2023-08-27,2.3,Shopping,1,Hotel,Medium,5,Warm,Walking,1,0,2000,0
586,69,Female,1468,Grand Canyon,Urban,4,Too crowded,2021-11-23,7.4,Dining,4,Hostel,Medium,2,Warm,Public Transport,0,1,1500,0
145,25,Male,1772,Great Wall of China,Historical,5,Breathtaking experience,2020-01-26,4.5,Hiking,2,Guesthouse,Medium,1,Warm,Public Transport,1,0,2000,0
753,53,Other,1103,Eiffel Tower,Adventure,2,Too crowded,2023-10-14,9.7,Shopping,3,Guesthouse,Medium,3,Warm,Public Transport,0,1,5000,0
968,48,Male,1650,Taj Mahal,Urban,3,Not worth the visit,2022-01-02,7.8,Hiking,5,Resort,Low,4,Cool,Bike,0,1,5000,0
321,69,Male,1820,Taj Mahal,Adventure,2,Too crowded,2020-12-25,9.9,Dining,1,Guesthouse,Low,4,Moderate,Car,1,1,1000,1
699,52,Male,1333,Eiffel Tower,Historical,3,Not worth the visit,2021-07-12,2.8,Sightseeing,0,Airbnb,High,4,Moderate,Taxi,1,1,500,1
896,25,Other,1636,Eiffel Tower,Adventure,2,Loved the architecture,2024-05-21,9.0,Photography,3,Hotel,High,3,Moderate,Bike,0,1,3000,0
771,61,Other,1007,Taj Mahal,Urban,5,Too crowded,2024-09-07,3.7,Hiking,5,Hostel,Low,4,Warm,Car,1,1,500,1
171,52,Other,1010,Eiffel Tower,Historical,3,Not worth the visit,2020-10-22,9.0,Shopping,0,Hostel,Medium,4,Moderate,Public Transport,1,0,5000,1
449,56,Other,1207,Machu Picchu,Urban,1,Loved the architecture,2024-03-11,7.2,Dining,2,Resort,High,4,Cool,Public Transport,0,0,3000,0
